id,type_of_violence,deaths
4, 1, 2
228, 1, 1
301, 1, 0
421, 1, 2
487, 1, 1
497, 1, 2
516, 1, 4
27665, 2, 22
258, 1, 1
223, 1, 3
390, 1, 12
719, 1, 1
879, 1, 26
34, 1, 1
19, 1, 1
21, 1, 7
22, 1, 5
73, 1, 11
118, 1, 6
137, 1, 1
136, 2, 24
141, 1, 3
179, 1, 1
220, 1, 1
203, 1, 0
222, 1, 1
332, 1, 5
290, 1, 3
345, 1, 0
386, 1, 2
425, 1, 4
420, 1, 1
424, 1, 7
436, 1, 0
437, 1, 2
466, 1, 0
484, 1, 5
485, 1, 2
503, 1, 3
521, 1, 5
522, 1, 2
523, 1, 2
525, 1, 2
526, 1, 1
545, 1, 0
593, 2, 2
783, 1, 9
704, 1, 3
718, 1, 1
722, 1, 1
723, 1, 3
724, 1, 1
780, 1, 3
869, 1, 0
877, 1, 0
918, 1, 3
921, 1, 1
923, 1, 5
924, 1, 3
925, 1, 0
926, 1, 1
927, 1, 0
928, 1, 1
929, 1, 1
